id,created_at,value,purchase_id
1,2019-01-01 0:00:00,172692,43
2,2019-01-05 0:00:00,177194,36
3,2019-01-09 0:00:00,109513,30
4,2019-01-13 0:00:00,164911,30
5,2019-01-17 0:00:00,198872,39
6,2019-01-21 0:00:00,184853,31
7,2019-01-25 0:00:00,186817,26
8,2019-01-29 0:00:00,137784,22
9,2019-02-02 0:00:00,140032,25
10,2019-02-06 0:00:00,116948,43
11,2019-02-10 0:00:00,162515,25
12,2019-02-14 0:00:00,114256,12
13,2019-02-18 0:00:00,197465,48
14,2019-02-22 0:00:00,120741,20
15,2019-02-26 0:00:00,100074,49
16,2019-03-02 0:00:00,157548,19
17,2019-03-06 0:00:00,105506,16
18,2019-03-10 0:00:00,189351,46
19,2019-03-14 0:00:00,191231,29
20,2019-03-18 0:00:00,120575,44
21,2019-03-22 0:00:00,151688,47
22,2019-03-26 0:00:00,102327,18
23,2019-03-30 0:00:00,156147,25
24,2019-04-03 0:00:00,192530,36
25,2019-04-07 0:00:00,154765,42
26,2019-04-11 0:00:00,113336,12
27,2019-04-15 0:00:00,129073,50
28,2019-04-19 0:00:00,123477,21
29,2019-04-23 0:00:00,182142,31
30,2019-04-27 0:00:00,116546,39
31,2019-05-01 0:00:00,174748,26
32,2019-05-05 0:00:00,155693,42
33,2019-05-09 0:00:00,103012,25
34,2019-05-13 0:00:00,187960,33
35,2019-05-17 0:00:00,101202,18
36,2019-05-21 0:00:00,112522,10
37,2019-05-25 0:00:00,195969,37
38,2019-05-29 0:00:00,117284,40
39,2019-06-02 0:00:00,112956,36
40,2019-06-06 0:00:00,174157,29
41,2019-06-10 0:00:00,125975,45
42,2019-06-14 0:00:00,110340,29
43,2019-06-18 0:00:00,143066,31
44,2019-06-22 0:00:00,153270,11
45,2019-06-26 0:00:00,139635,29
46,2019-06-30 0:00:00,157071,35
47,2019-07-04 0:00:00,166552,18
48,2019-07-08 0:00:00,197587,34
49,2019-07-12 0:00:00,103958,37
50,2019-07-16 0:00:00,111305,28
51,2019-07-20 0:00:00,190266,39
52,2019-07-24 0:00:00,116060,44
53,2019-07-28 0:00:00,163802,48
54,2019-08-01 0:00:00,188558,21
55,2019-08-05 0:00:00,166528,49
56,2019-08-09 0:00:00,141463,28
57,2019-08-13 0:00:00,120110,34
58,2019-08-17 0:00:00,159368,12
59,2019-08-21 0:00:00,184900,46
60,2019-08-25 0:00:00,190372,38
61,2019-08-29 0:00:00,195877,15
62,2019-09-02 0:00:00,143221,21
63,2019-09-06 0:00:00,160413,41
64,2019-09-10 0:00:00,183919,43
65,2019-09-14 0:00:00,134535,34
66,2019-09-18 0:00:00,188646,31
67,2019-09-22 0:00:00,122706,27
68,2019-09-26 0:00:00,160016,21
69,2019-09-30 0:00:00,186777,21
70,2019-10-04 0:00:00,165442,50
71,2019-10-08 0:00:00,172445,43
72,2019-10-12 0:00:00,167910,21
73,2019-10-16 0:00:00,116646,35
74,2019-10-20 0:00:00,163287,15
75,2019-10-24 0:00:00,187293,43
76,2019-10-28 0:00:00,144823,11
77,2019-11-01 0:00:00,118317,10
78,2019-11-05 0:00:00,166105,38
79,2019-11-09 0:00:00,121128,11
80,2019-11-13 0:00:00,177355,38
81,2019-11-17 0:00:00,176442,50
82,2019-11-21 0:00:00,129837,10
83,2019-11-25 0:00:00,122363,38
84,2019-11-29 0:00:00,125469,10
85,2019-12-03 0:00:00,109657,20
86,2019-12-07 0:00:00,108782,35
87,2019-12-11 0:00:00,149235,18
88,2019-12-15 0:00:00,187243,36
89,2019-12-19 0:00:00,152538,20
90,2019-12-23 0:00:00,178861,34
91,2019-12-27 0:00:00,122675,30
92,2019-12-31 0:00:00,104037,18